eps,min_samples,clusters,noise_points,noise_ratio,silhouette_non_noise
0.6000000000000001,8,1,6,0.03,
0.6000000000000001,9,1,8,0.04,
0.6000000000000001,10,1,10,0.05,
0.6500000000000001,3,1,0,0.0,
0.6500000000000001,4,1,4,0.02,
0.6500000000000001,5,1,5,0.025,
0.6500000000000001,6,1,5,0.025,
0.6500000000000001,7,1,6,0.03,
0.6500000000000001,8,1,6,0.03,
0.6500000000000001,9,1,6,0.03,
0.6500000000000001,10,1,6,0.03,
0.7000000000000002,3,1,0,0.0,
0.7000000000000002,4,1,0,0.0,
0.7000000000000002,5,1,0,0.0,
0.7000000000000002,6,1,4,0.02,
0.7000000000000002,7,1,4,0.02,
0.7000000000000002,8,1,4,0.02,
0.7000000000000002,9,1,4,0.02,
0.7000000000000002,10,1,4,0.02,
0.7500000000000002,3,1,0,0.0,
0.7500000000000002,4,1,0,0.0,
0.7500000000000002,5,1,0,0.0,
0.7500000000000002,6,1,2,0.01,
0.7500000000000002,7,1,4,0.02,
0.7500000000000002,8,1,4,0.02,
0.7500000000000002,9,1,4,0.02,
0.7500000000000002,10,1,4,0.02,
0.8000000000000003,3,1,0,0.0,
0.8000000000000003,4,1,0,0.0,
0.8000000000000003,5,1,0,0.0,
0.8000000000000003,6,1,0,0.0,
0.8000000000000003,7,1,2,0.01,
0.8000000000000003,8,1,4,0.02,
0.8000000000000003,9,1,4,0.02,
0.8000000000000003,10,1,4,0.02,
0.8500000000000002,3,1,0,0.0,
0.8500000000000002,4,1,0,0.0,
0.8500000000000002,5,1,0,0.0,
0.8500000000000002,6,1,0,0.0,
0.8500000000000002,7,1,0,0.0,
0.8500000000000002,8,1,1,0.005,
0.8500000000000002,9,1,4,0.02,
0.8500000000000002,10,1,4,0.02,
0.9000000000000002,3,1,0,0.0,
0.9000000000000002,4,1,0,0.0,
0.9000000000000002,5,1,0,0.0,
0.9000000000000002,6,1,0,0.0,
0.9000000000000002,7,1,0,0.0,
0.9000000000000002,8,1,1,0.005,
0.9000000000000002,9,1,2,0.01,
0.9000000000000002,10,1,2,0.01,
0.9500000000000003,3,1,0,0.0,
0.9500000000000003,4,1,0,0.0,
0.9500000000000003,5,1,0,0.0,
0.9500000000000003,6,1,0,0.0,
0.9500000000000003,7,1,0,0.0,
0.9500000000000003,8,1,0,0.0,
0.9500000000000003,9,1,1,0.005,
0.9500000000000003,10,1,2,0.01,
1.0000000000000002,3,1,0,0.0,
1.0000000000000002,4,1,0,0.0,
1.0000000000000002,5,1,0,0.0,
1.0000000000000002,6,1,0,0.0,
1.0000000000000002,7,1,0,0.0,
1.0000000000000002,8,1,0,0.0,
1.0000000000000002,9,1,0,0.0,
1.0000000000000002,10,1,0,0.0,
